Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
toyota,camry,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Hybrid,2.5,5.0,1420
vinfast,luxa,2021,Xe đã dùng,59000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,575
mercedes benz,cclass,2013,Xe đã dùng,1000.0,Trong nước,Sedan,Số tự động,Xăng,1.8,5.0,390
hyundai,i10,2019,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,1.2,5.0,338
hyundai,solati,2023,Xe mới,0.0,Trong nước,Van/Minivan,Số tay,Dầu,2.5,10.0,1499
kia,morning,2016,Xe đã dùng,6.0,Trong nước,Hatchback,Số tay,Xăng,1.2,5.0,218
kia,seltos,2022,Xe đã dùng,11000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.4,5.0,615
mercedes benz,sclass,2020,Xe đã dùng,13000.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,3188
peugeot,2008,2022,Xe đã dùng,13000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.2,5.0,729
lexus,rx,2014,Xe đã dùng,62000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.5,5.0,1480
bmw,3,2019,Xe đã dùng,0.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,879
kia,sonet,2022,Xe đã dùng,16000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,575
honda,city,2014,Xe đã dùng,86000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,315
mercedes benz,cclass,2019,Xe đã dùng,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1139
hyundai,avante,2012,Xe đã dùng,90000.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,295
haval,h6,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Hybrid,1.5,5.0,852
bmw,x3,2019,Xe đã dùng,20000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1639
ford,focus,2012,Xe đã dùng,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,295
kia,sorento,2017,Xe đã dùng,78978.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,520
hyundai,tucson,2019,Xe đã dùng,36000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,695
chevrolet,captiva,2009,Xe đã dùng,123456.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.4,7.0,205
hyundai,kona,2019,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,550
mazda,2,2019,Xe đã dùng,32000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.5,5.0,420
